-399.6	-1000	0.9	-399.2	-1000	0	-399.2	-1000	3.9
-399.2	-1000	0	-399.2	-1000	3.9	-398.9	-1000	0
-399.2	-1000	3.9	-398.9	-1000	0	-398.9	-1000	6.2
-398.9	-1000	0	-398.9	-1000	6.2	-398.5	-1000	0
-398.9	-1000	6.2	-398.5	-1000	0	-398.5	-1000	24
-398.5	-1000	0	-398.5	-1000	24	-398.1	-1000	0
-398.5	-1000	24	-398.1	-1000	0	-398.1	-1000	31.1
-398.1	-1000	0	-398.1	-1000	31.1	-397.7	-1000	0
-398.1	-1000	31.1	-397.7	-1000	0	-397.7	-1000	35.8
-397.7	-1000	0	-397.7	-1000	35.8	-397.4	-1000	0
-397.7	-1000	35.8	-397.4	-1000	0	-397.4	-1000	40.3
-397.4	-1000	0	-397.4	-1000	40.3	-397	-1000	0
-397.4	-1000	40.3	-397	-1000	0	-397	-1000	43.9
-397	-1000	0	-397	-1000	43.9	-396.6	-1000	0
-397	-1000	43.9	-396.6	-1000	0	-396.6	-1000	47.6
-396.6	-1000	0	-396.6	-1000	47.6	-396.2	-1000	0
-396.6	-1000	47.6	-396.2	-1000	0	-396.2	-1000	50.6
-396.2	-1000	0	-396.2	-1000	50.6	-395.9	-1000	0
-396.2	-1000	50.6	-395.9	-1000	0	-395.9	-1000	53.6
-395.9	-1000	0	-395.9	-1000	53.6	-395.5	-1000	0
-395.9	-1000	53.6	-395.5	-1000	0	-395.5	-1000	56.4
-395.5	-1000	0	-395.5	-1000	56.4	-395.1	-1000	0
-395.5	-1000	56.4	-395.1	-1000	0	-395.1	-1000	59.1
-395.1	-1000	0	-395.1	-1000	59.1	-394.7	-1000	0
-395.1	-1000	59.1	-394.7	-1000	0	-394.7	-1000	61.5
-394.7	-1000	0	-394.7	-1000	61.5	-394.4	-1000	0
-394.7	-1000	61.5	-394.4	-1000	0	-394.4	-1000	64.1
-394.4	-1000	0	-394.4	-1000	64.1	-394	-1000	0
-394.4	-1000	64.1	-394	-1000	0	-394	-1000	66.4
-394	-1000	0	-394	-1000	66.4	-393.6	-1000	0
-394	-1000	66.4	-393.6	-1000	0	-393.6	-1000	68.6
-393.6	-1000	0	-393.6	-1000	68.6	-393.2	-1000	0
-393.6	-1000	68.6	-393.2	-1000	0	-393.2	-1000	70.7
-393.2	-1000	0	-393.2	-1000	70.7	-392.9	-1000	0
-393.2	-1000	70.7	-392.9	-1000	0	-392.9	-1000	72.9
-392.9	-1000	0	-392.9	-1000	72.9	-392.5	-1000	0
-392.9	-1000	72.9	-392.5	-1000	0	-392.5	-1000	75
-392.5	-1000	0	-392.5	-1000	75	-391.7	-1000	0
-392.5	-1000	75	-391.7	-1000	0	-391.7	-1000	78.8
-391.7	-1000	0	-391.7	-1000	78.8	-391	-1000	0
-391.7	-1000	78.8	-391	-1000	0	-391	-1000	82.5
-391	-1000	0	-391	-1000	82.5	-390.2	-1000	0
-391	-1000	82.5	-390.2	-1000	0	-390.2	-1000	86.1
-390.2	-1000	0	-390.2	-1000	86.1	-389.5	-1000	0
-390.2	-1000	86.1	-389.5	-1000	0	-389.5	-1000	89.5
-389.5	-1000	0	-389.5	-1000	89.5	-388.7	-1000	0
-389.5	-1000	89.5	-388.7	-1000	0	-388.7	-1000	92.8
-388.7	-1000	0	-388.7	-1000	92.8	-388	-1000	0
-388.7	-1000	92.8	-388	-1000	0	-388	-1000	95.8
-388	-1000	0	-388	-1000	95.8	-387.2	-1000	0
-388	-1000	95.8	-387.2	-1000	0	-387.2	-1000	99
-387.2	-1000	0	-387.2	-1000	99	-386.5	-1000	0
-387.2	-1000	99	-386.5	-1000	0	-386.5	-1000	101.8
-386.5	-1000	0	-386.5	-1000	101.8	-385.7	-1000	0
-386.5	-1000	101.8	-385.7	-1000	0	-385.7	-1000	104.8
-385.7	-1000	0	-385.7	-1000	104.8	-385	-1000	0
